in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,in_10,in_11,in_12,in_13,in_14,in_15,in_16,in_17,in_18,in_19,in_20,in_21,in_22,in_23,in_24,in_25,in_26,in_27,in_28,in_29,in_30,in_31,in_32,in_33,in_34,in_35,in_36,in_37,in_38,in_39
0.6964691855978616,0.28613933495037946,0.2268514535642031,0.5513147690828912,0.7194689697855631,0.42310646012446096,0.9807641983846155,0.6848297385848633,0.48093190148436094,0.3921175181941505,0.3431780161508694,0.7290497073840416,0.4385722446796244,0.05967789660956835,0.3980442553304314,0.7379954057320357,0.18249173045349998,0.17545175614749253,0.5315513738418384,0.5318275870968661,0.6344009585513211,0.8494317940777896,0.7244553248606352,0.6110235106775829,0.7224433825702216,0.3229589138531782,0.3617886556223141,0.22826323087895561,0.29371404638882936,0.6309761238544878,0.09210493994507518,0.43370117267952824,0.4308627633296438,0.4936850976503062,0.425830290295828,0.3122612229724653,0.4263513069628082,0.8933891631171348,0.9441600182038796,0.5018366758843366
0.6239529517921112,0.11561839507929572,0.3172854818203209,0.4148262119536318,0.8663091578833659,0.2504553653965067,0.48303426426270435,0.985559785610705,0.5194851192598093,0.6128945257629677,0.12062866599032374,0.8263408005068332,0.6030601284109274,0.5450680064664649,0.3427638337743084,0.3041207890271841,0.4170222110247016,0.6813007657927966,0.8754568417951749,0.5104223374780111,0.6693137829622723,0.5859365525622129,0.6249035020955999,0.6746890509878248,0.8423424376202573,0.08319498833243877,0.7636828414433382,0.243666374536874,0.19422296057877086,0.5724569574914731,0.09571251661238711,0.8853268262751396,0.6272489720512687,0.7234163581899548,0.01612920669501683,0.5944318794450425,0.5567851923942887,0.15895964414472274,0.1530705151247731,0.6955295287709109
0.31876642638187636,0.6919702955318197,0.5543832497177721,0.3889505741231446,0.9251324896139861,0.8416699969127163,0.35739756668317624,0.04359146379904055,0.30476807341109746,0.398185681917981,0.7049588304513622,0.9953584820340174,0.35591486571745956,0.7625478137854338,0.5931769165622212,0.6917017987001771,0.15112745234808023,0.39887629272615654,0.24085589772362448,0.34345601404832493,0.5131281541990022,0.6666245501640716,0.10590848505681383,0.13089495066408074,0.32198060646830806,0.6615643366662437,0.8465062252707221,0.5532573447967134,0.8544524875245048,0.3848378112757611,0.31678789711837974,0.3542646755916785,0.17108182920509907,0.8291126345018904,0.3386708459143266,0.5523700752940731,0.578551468108833,0.5215330593973323,0.002688064574320692,0.98834541928282
0.9053415756616099,0.2076358611963245,0.2924894127924248,0.5200101530724834,0.9019113726606706,0.9836308849117232,0.2575420641540831,0.5643590429247817,0.8069686841371791,0.3943700539527748,0.7310730358445571,0.16106901442921484,0.6006985678335899,0.8658644583032646,0.9835216092035556,0.07936579037801572,0.42834727470094924,0.2045428595464277,0.4506364905187348,0.547763572628854,0.09332671036982076,0.29686077548067946,0.9275842401521475,0.5690037314301953,0.45741199752361195,0.7535259907981146,0.7418621518420373,0.04857903284426879,0.708697395442746,0.8392433478050836,0.16593788420695388,0.7809979379999573,0.2865366167291019,0.3064697533295573,0.665261465349683,0.11139217160771575,0.6648724488032943,0.8878567926762226,0.6963112682354063,0.44032787666540907
0.4382143843772247,0.7650960952393066,0.5656420012258828,0.0849041631918176,0.5826710878614046,0.8148437028934097,0.33706638344761,0.9275765795753895,0.7507170003431679,0.5740638251499645,0.7516439887929184,0.07914896073820521,0.8593890756806114,0.8215041132005579,0.9098716596102089,0.12863119750938,0.08178008709398521,0.13841557278158978,0.3993787101028001,0.4243068610809919,0.5622183787309056,0.12224354963250506,0.20139950138137086,0.8116443482840215,0.4679875740567494,0.8079382094836102,0.007426378544613033,0.5515927259824055,0.9319321480766781,0.5821754591458701,0.20609572744527416,0.7177575622795576,0.3789858496989177,0.6683839472594598,0.02931972289377127,0.6359003593513561,0.032197934937924,0.744780655141766,0.4729130022384551,0.12175435547305369
0.542635925788506,0.0667744432250047,0.6533648713530407,0.9960863273678254,0.7693973370739623,0.5737741136588245,0.10263525921079586,0.6998340747729147,0.6611678673279311,0.04909713062277632,0.7922993018445906,0.5187165908905051,0.4258676941999191,0.7881871736014655,0.41156922320883715,0.48102627550515353,0.18162884267382462,0.32131889950642867,0.8455329965625688,0.18690374892671535,0.4172910609033441,0.9890345073952994,0.23659981170551936,0.9168323329388289,0.918397467805633,0.09129634220320182,0.463652724885516,0.5022163353227871,0.31366895005212747,0.047339537237736984,0.24168563724539782,0.09552964155536092,0.23824990571241178,0.8077910862901561,0.8949782878860116,0.0432228920796468,0.301946836262719,0.9805821985942876,0.5395048225537353,0.6263093617098563
0.0055454084069045395,0.48490944344255926,0.9883285346223875,0.3751855274827981,0.09703815863886123,0.4619087615684484,0.9630044659922582,0.34183061356501643,0.7989227332150132,0.7988463312130619,0.20824829673893663,0.44336770180121177,0.7156012751543048,0.41051978541392786,0.19100695537042112,0.9674943068064185,0.6507503664762934,0.8654598515228994,0.025242357799643678,0.26690581479113473,0.5020711003267428,0.06744863513005173,0.9930332610947917,0.2364623961980289,0.37429218234544803,0.21401191490834626,0.10544586610545081,0.23247978560423577,0.3006101355032047,0.6344422678994391,0.2812347814529085,0.36227676097657624,0.005942843723529823,0.36571912592736455,0.5338859816982946,0.1620158370505309,0.597433108360375,0.29315246862717936,0.6320504948017279,0.026196605250843774
0.8875934604677749,0.016118630423373914,0.12695803103596137,0.7771624615706022,0.04589523220217062,0.71099869359551,0.9710461405101289,0.8716829331423073,0.7101616513206985,0.9585097430216668,0.42981333788658194,0.8728789143218073,0.3559576679736146,0.9297636529038468,0.1487776562421036,0.9400290149282735,0.8327161972832127,0.8460548381964641,0.12392300992394434,0.596486898341737,0.01639248087593137,0.7211843660506068,0.007737514125903955,0.08482227744523363,0.2254984104500236,0.8751245338732246,0.36357631798761336,0.5399599352125585,0.5681032138189784,0.22546336030595993,0.5721467679844612,0.6609517950296032,0.29824539331732947,0.41862685898002594,0.45308892454613003,0.9323506615420816,0.5874937474795024,0.9482523716181412,0.5560347537651469,0.5005614208491012
0.003532210966248339,0.4808890438749621,0.9274549985626518,0.19836568902671914,0.05209113438949886,0.40677889347386853,0.372396480594112,0.8571530578712436,0.02661111555995954,0.9201492297590049,0.6809029989949564,0.9042259940642177,0.6075290708206388,0.8119533124361243,0.33554387353928616,0.34956622802755977,0.3898742303282924,0.7547970815727832,0.3692911744286478,0.24221980649226726,0.9376683567905958,0.9080110836630401,0.34879731608699105,0.6346380702580473,0.27384221165307576,0.20611512871356907,0.3363395289967944,0.3270998926155012,0.8822761011966163,0.8223038147237254,0.7096232285590979,0.9593452252588969,0.42254335310805813,0.24503303855567626,0.11739843719148924,0.3010533582011998,0.14526373397045378,0.09218609736837002,0.6029321967069232,0.3641874497564469
0.5645703425961436,0.1913357207205566,0.6769058596527606,0.2155054472756598,0.27802359374403607,0.7417604221448768,0.5597378956447119,0.33483641286701926,0.5429887825451936,0.6939847028582425,0.912132121477629,0.5807132133944539,0.2326863788928809,0.7466976307764965,0.7777690175547075,0.200401314962654,0.820574219677886,0.4649348547228265,0.7797666620889452,0.2374782199882659,0.3325802697176764,0.9536971192916528,0.657815073149805,0.7728778305015418,0.6883743432206291,0.20430411784843272,0.4706887484465426,0.808963872711785,0.6750351269093718,0.006027885653297926,0.0874077426528228,0.3467947202135594,0.9443655396185902,0.4911904809745835,0.27017626743033374,0.3604237194537099,0.21065262755406322,0.42120005717001263,0.21803543954947457,0.8457525073029277
